SimulationName,SimulationID,Amount,CheckpointID,CheckpointName,Clock.Today,cultivarName,Experiment,Maize.AboveGround.N,Maize.AboveGround.Wt,Maize.Grain.N,Maize.Grain.NumberFunction,Maize.Grain.Size,Maize.Grain.Total.Wt,Maize.Grain.Wt,Maize.Phenology.CurrentStageName,Maize.Total.Wt,Yield,Zone
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,1991-05-28,Dekalb_XL82,Experiment,7.374,1011.663,5.185,2951.584,0.152,449.054,449.054,HarvestRipe,1106.379,4490.542,Field
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,1992-04-09,Dekalb_XL82,Experiment,0.506,69.177,0.328,80.224,0.301,24.186,24.186,HarvestRipe,71.535,241.860,Field
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,1993-03-16,Dekalb_XL82,Experiment,1.526,241.609,0.951,874.511,0.109,95.138,95.138,HarvestRipe,267.561,951.382,Field
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,1994-03-15,Dekalb_XL82,Experiment,1.066,142.808,0.838,570.755,0.151,86.201,86.201,HarvestRipe,146.728,862.010,Field
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,1995-04-04,Dekalb_XL82,Experiment,4.218,660.012,2.592,2449.154,0.102,249.455,249.455,HarvestRipe,739.898,2494.547,Field
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,1996-03-15,Dekalb_XL82,Experiment,1.937,306.600,1.410,942.323,0.161,151.937,151.937,HarvestRipe,319.982,1519.370,Field
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,1997-04-05,Dekalb_XL82,Experiment,3.451,513.033,2.285,1963.091,0.111,218.073,218.073,HarvestRipe,573.785,2180.733,Field
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,1998-03-06,Dekalb_XL82,Experiment,1.109,163.494,0.809,915.376,0.094,86.203,86.203,HarvestRipe,174.282,862.034,Field
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,1999-04-10,Dekalb_XL82,Experiment,5.066,791.184,3.285,2352.522,0.122,288.116,288.116,HarvestRipe,868.652,2881.160,Field
ExperimentAmount0cultivarNameDekalb_XL82,3,0,1,Current,2000-04-05,Dekalb_XL82,Experiment,1.294,199.271,0.882,1006.664,0.101,101.333,101.333,HarvestRipe,212.133,1013.328,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,1991-04-25,Melkassa,Experiment,7.133,1071.775,5.276,2068.806,0.247,510.926,510.926,HarvestRipe,1173.009,5109.260,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,1992-03-13,Melkassa,Experiment,0.486,72.178,0.326,95.875,0.328,31.451,31.451,HarvestRipe,74.503,314.511,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,1993-02-19,Melkassa,Experiment,1.637,255.042,1.074,808.712,0.134,108.654,108.654,HarvestRipe,286.334,1086.542,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,1994-02-16,Melkassa,Experiment,0.710,106.530,0.480,416.301,0.125,51.909,51.909,HarvestRipe,110.374,519.087,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,1995-03-08,Melkassa,Experiment,4.684,647.543,3.222,1627.726,0.186,303.060,303.060,HarvestRipe,728.301,3030.601,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,1996-02-16,Melkassa,Experiment,1.907,312.142,1.180,689.821,0.181,124.788,124.788,HarvestRipe,334.639,1247.877,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,1997-03-08,Melkassa,Experiment,4.118,535.129,2.890,1559.482,0.170,264.350,264.350,HarvestRipe,609.990,2643.496,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,1998-02-10,Melkassa,Experiment,1.146,171.893,0.844,1155.849,0.084,96.816,96.816,HarvestRipe,185.578,968.164,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,1999-03-15,Melkassa,Experiment,5.162,713.076,3.492,1796.579,0.168,301.583,301.583,HarvestRipe,792.009,3015.831,Field
ExperimentAmount0cultivarNameMelkassa,2,0,1,Current,2000-03-11,Melkassa,Experiment,1.551,272.662,0.913,1177.915,0.089,104.761,104.761,HarvestRipe,297.162,1047.614,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,1991-04-26,Pioneer_34K77,Experiment,7.134,1076.279,5.005,3728.800,0.152,565.755,565.755,HarvestRipe,1183.514,5657.552,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,1992-03-13,Pioneer_34K77,Experiment,0.489,77.451,0.327,149.983,0.236,35.376,35.376,HarvestRipe,79.745,353.759,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,1993-02-19,Pioneer_34K77,Experiment,1.748,282.531,1.095,1459.803,0.082,119.640,119.640,HarvestRipe,317.792,1196.404,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,1994-02-17,Pioneer_34K77,Experiment,0.736,117.309,0.481,828.075,0.072,59.328,59.328,HarvestRipe,121.915,593.281,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,1995-03-09,Pioneer_34K77,Experiment,4.724,706.986,3.008,3083.542,0.102,314.871,314.871,HarvestRipe,795.599,3148.705,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,1996-02-18,Pioneer_34K77,Experiment,1.809,324.528,1.049,1210.094,0.097,117.200,117.200,HarvestRipe,347.287,1171.996,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,1997-03-10,Pioneer_34K77,Experiment,3.926,567.983,2.598,2571.786,0.105,269.708,269.708,HarvestRipe,641.305,2697.075,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,1998-02-12,Pioneer_34K77,Experiment,1.171,186.430,0.833,1732.237,0.058,99.813,99.813,HarvestRipe,201.199,998.134,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,1999-03-15,Pioneer_34K77,Experiment,5.194,728.293,3.367,3273.671,0.102,334.262,334.262,HarvestRipe,809.868,3342.624,Field
ExperimentAmount0cultivarNamePioneer_34K77,5,0,1,Current,2000-03-11,Pioneer_34K77,Experiment,1.626,267.752,0.923,2118.176,0.054,115.371,115.371,HarvestRipe,292.772,1153.713,Field
ExperimentAmount300cultivarNameDekalb_XL82,6,300,1,Current,1991-05-28,Dekalb_XL82,Experiment,17.315,1603.310,11.178,3043.698,0.278,846.962,846.962,HarvestRipe,1728.427,8469.616,Field
